date,sales
2012/10/17,6938802
2012/10/18,6078121
2012/10/19,11112670
2012/10/20,10420712
2012/10/21,10790475
2012/10/22,7265355
2012/10/23,5774897
2012/10/24,7414929
2012/10/25,7767852
2012/10/26,8049838
2012/10/27,9088234
2012/10/28,7574139
2012/10/29,7302191
2012/10/30,6868606
2012/10/31,7043357
2012/11/01,7355091
2012/11/02,8242377
2012/11/03,8330412
2012/11/04,7893662
2012/11/05,7023674
2012/11/06,5396059
2012/11/07,7631587
2012/11/08,6875184
2012/11/09,9058501
2012/11/10,9129548
2012/11/11,7386941
2012/11/12,7100319
2012/11/13,7318825
2012/11/14,6988985
2012/11/15,8351987
2012/11/16,8710253
2012/11/17,7257176
2012/11/18,8945462
2012/11/19,7132080
2012/11/20,7000352
2012/11/21,7552363
2012/11/22,8464805
2012/11/23,6899434
2012/11/24,9274000
2012/11/25,8140415
2012/11/26,5643310
2012/11/27,7567027
2012/11/28,7781551
2012/11/29,7128723
2012/11/30,8808241
2012/12/01,9753175
2012/12/02,9760934
2012/12/03,7260344
2012/12/04,7025099
2012/12/05,7736418
2012/12/06,7143642
2012/12/07,8728456
2012/12/08,9441667
2012/12/09,10099654
2012/12/10,7871500
2012/12/11,7456703
2012/12/12,8334389
2012/12/13,8788762
2012/12/14,9295180
2012/12/15,8927016
2012/12/16,10006776
2012/12/17,7054692
2012/12/18,8446712
2012/12/19,8230039
2012/12/20,8950709
2012/12/21,10886217
2012/12/22,11030617
2012/12/23,14397312
2012/12/24,15207830
2012/12/25,10488428
2012/12/26,10643832
2012/12/27,12170113
2012/12/28,16376224
2012/12/29,20536478
2012/12/30,22007226
2012/12/31,26566096
2013/01/01,7849917
2013/01/02,6768934
2013/01/03,5806105
2013/01/04,7220643
2013/01/05,7103162
2013/01/06,7260703
2013/01/07,6902028
2013/01/08,6959430
2013/01/09,6462084
2013/01/10,6456424
2013/01/11,7893100
2013/01/12,8269918
2013/01/13,8190619
2013/01/14,3277822
2013/01/15,6569484
2013/01/16,7291901
2013/01/17,7279427
2013/01/18,8313547
2013/01/19,8541910
2013/01/20,7908296
2013/01/21,8092811
2013/01/22,6116858
2013/01/23,7177782
2013/01/24,6747843
2013/01/25,7996583
2013/01/26,8423275
2013/01/27,7810077
2013/01/28,6696020
2013/01/29,6977231
2013/01/30,6923114
2013/01/31,6885625
2013/02/01,8124533
2013/02/02,7898268
2013/02/03,9222971
2013/02/04,6931847
2013/02/05,9148654
2013/02/06,3842206
2013/02/07,6842424
2013/02/08,8180481
2013/02/09,8771265
2013/02/10,8523985
2013/02/11,8136515
2013/02/12,7954073
2013/02/13,7715498
2013/02/14,8165689
2013/02/15,7637367
2013/02/16,8888360
2013/02/17,9087778
2013/02/18,6874225
2013/02/19,5898576
2013/02/20,7652274
2013/02/21,6716220
2013/02/22,7994960
2013/02/23,8766011
2013/02/24,8247403
2013/02/25,7026671
2013/02/26,7372271
2013/02/27,6450443
2013/02/28,7579625
2013/03/01,7313046
2013/03/02,9147957
2013/03/03,9636777
2013/03/04,6644314
2013/03/05,6789274
2013/03/06,6688030
2013/03/07,6328848
2013/03/08,7334775
2013/03/09,7842321
2013/03/10,7324005
2013/03/11,7200774
2013/03/12,7021671
2013/03/13,6495474
2013/03/14,7534990
2013/03/15,8405917
2013/03/16,8733660
2013/03/17,8130770
2013/03/18,6049596
2013/03/19,7541131
2013/03/20,7004800
2013/03/21,6647242
2013/03/22,7701850
2013/03/23,8694197
2013/03/24,7558336
2013/03/25,6502677
2013/03/26,7393669
2013/03/27,6435122
2013/03/28,6890751
2013/03/29,8536632
2013/03/30,8816714
2013/03/31,7970716
2013/04/01,7773181
2013/04/02,5318938
2013/04/03,5979685
2013/04/04,7847488
2013/04/05,11009365
2013/04/06,7970351
2013/04/07,7463364
2013/04/08,7446746
2013/04/09,7142532
2013/04/10,6922689
2013/04/11,6527020
2013/04/12,7555920
2013/04/13,8651541
2013/04/14,8042930
2013/04/15,7490408
2013/04/16,7014122
2013/04/17,7193864
2013/04/18,7159766
2013/04/19,7923925
2013/04/20,8205721
2013/04/21,7802633
2013/04/22,7707288
2013/04/23,7563936
2013/04/24,6267916
2013/04/25,7457647
2013/04/26,7732233
2013/04/27,8677080
2013/04/28,7735436
2013/04/29,7670538
2013/04/30,7041594
2013/05/01,7455660
2013/05/02,7882513
2013/05/03,8177293
2013/05/04,7327144
2013/05/05,7769981
2013/05/06,10053290
2013/05/07,7392936
2013/05/08,6914529
2013/05/09,6535207
2013/05/10,8770758
2013/05/11,7735522
2013/05/12,9486114
2013/05/13,7140516
2013/05/14,6606956
2013/05/15,6802410
2013/05/16,5858087
2013/05/17,8161777
2013/05/18,7960800
2013/05/19,7802345
2013/05/20,6054810
2013/05/21,7143539
2013/05/22,7244466
2013/05/23,7282472
2013/05/24,8545583
2013/05/25,8049373
2013/05/26,8373926
2013/05/27,7068475
2013/05/28,6901092
2013/05/29,6286565
2013/05/30,6371017
2013/05/31,8171561
2013/06/01,8588344
2013/06/02,8078432
2013/06/03,6823335
2013/06/04,7035575
2013/06/05,6883297
2013/06/06,6819327
2013/06/07,7949714
2013/06/08,8147674
2013/06/09,7960529
2013/06/10,7630044
2013/06/11,6391327
2013/06/12,6446666
2013/06/13,5903884
2013/06/14,9171709
2013/06/15,9633314
2013/06/16,8594530
2013/06/17,7259330
2013/06/18,6999446
2013/06/19,6726408
2013/06/20,5985432
2013/06/21,7058337
2013/06/22,9067164
2013/06/23,8213332
2013/06/24,7524278
2013/06/25,7269517
2013/06/26,5591855
2013/06/27,8210263
2013/06/28,7841182
2013/06/29,8495869
2013/06/30,8432545
2013/07/01,7492485
2013/07/02,6772615
2013/07/03,7281545
2013/07/04,6838775
2013/07/05,8103119
2013/07/06,8632432
2013/07/07,7614607
2013/07/08,6987000
2013/07/09,6910647
2013/07/10,7123977
2013/07/11,6926279
2013/07/12,8179532
2013/07/13,8553289
2013/07/14,7766840
2013/07/15,7777731
